1,3
2,6
3,9
4,11
5,13
6,16
7,18
8,20
9,22
10,25
11,28
12,30
13,32
14,35
15,36
16,39
17,42
18,45
19,47
20,49
21,51
22,54
23,56
24,58
25,61
26,63
27,65
28,68
29,70
30,73
31,75
32,78
33,79
34,83
35,84
36,88
37,90
